 2020-05-07 17:35:20,833 StockWatcher - start program 
 2020-05-07 17:35:20,834 Start watching MSFT: Price: 20 
 2020-05-07 17:35:20,834 MSFT	20 
 2020-05-07 17:35:20,834 Start watching GOOG: Price: 20 
 2020-05-07 17:35:20,834 GOOG	20 
 2020-05-07 17:35:20,835 Start watching AAPL: Price: 20 
 2020-05-07 17:35:20,835 AAPL	20 
 2020-05-07 17:35:20,835 Start watching AMZN: Price: 20 
 2020-05-07 17:35:20,835 AMZN	20 
 2020-05-07 17:37:20,836 MSFT	25 
 2020-05-07 17:37:20,836 GOOG	25 
 2020-05-07 17:37:20,836 AMZN	25 
 2020-05-07 17:37:20,836 AAPL	25 
 2020-05-07 17:39:20,839 MSFT	30 
 2020-05-07 17:39:20,843 GOOG	30 
 2020-05-07 17:39:20,844 AAPL	30 
 2020-05-07 17:39:20,847 AMZN	30 
 2020-05-07 17:41:20,843 MSFT	30 
 2020-05-07 17:41:20,849 GOOG	30 
 2020-05-07 17:41:20,850 AAPL	30 
 2020-05-07 17:41:20,854 AMZN	30 
 2020-05-07 17:43:20,844 MSFT	30 
 2020-05-07 17:43:20,850 GOOG	30 
 2020-05-07 17:43:20,851 AAPL	30 
 2020-05-07 17:43:20,856 AMZN	30 
 2020-05-07 17:45:20,845 MSFT	20 
 2020-05-07 17:45:20,851 GOOG	20 
 2020-05-07 17:45:20,852 AAPL	20 
 2020-05-07 17:45:20,857 AMZN	20 
 2020-05-07 17:47:20,851 MSFT	20 
 2020-05-07 17:47:20,853 GOOG	20 
 2020-05-07 17:47:20,856 AAPL	20 
 2020-05-07 17:47:20,859 AMZN	20 
 2020-05-07 17:49:20,852 MSFT	25 
 2020-05-07 17:49:20,854 GOOG	25 
 2020-05-07 17:49:20,857 AAPL	25 
 2020-05-07 17:49:20,860 AMZN	25 
 2020-05-07 17:51:20,857 MSFT	30 
 2020-05-07 17:51:20,859 GOOG	30 
 2020-05-07 17:51:20,861 AAPL	30 
 2020-05-07 17:51:20,863 AMZN	30 
 2020-05-07 17:53:20,860 MSFT	30 
 2020-05-07 17:53:20,864 GOOG	30 
 2020-05-07 17:53:20,867 AMZN	30 
 2020-05-07 17:53:20,870 AAPL	30 
 2020-05-07 17:55:20,861 MSFT	30 
 2020-05-07 17:55:20,865 GOOG	30 
 2020-05-07 17:55:20,868 AMZN	30 
 2020-05-07 17:55:20,871 AAPL	30 
 2020-05-07 17:57:20,862 MSFT	20 
 2020-05-07 17:57:20,866 GOOG	20 
 2020-05-07 17:57:20,869 AMZN	20 
 2020-05-07 17:57:20,872 AAPL	20 
 2020-05-07 17:59:20,866 MSFT	20 
 2020-05-07 17:59:20,867 GOOG	20 
 2020-05-07 17:59:20,870 AMZN	20 
 2020-05-07 17:59:20,873 AAPL	20 
 2020-05-07 18:01:20,867 MSFT	25 
 2020-05-07 18:01:20,868 GOOG	25 
 2020-05-07 18:01:20,871 AMZN	25 
 2020-05-07 18:01:20,874 AAPL	25 
 2020-05-07 18:03:20,871 MSFT	30 
 2020-05-07 18:03:20,877 GOOG	30 
 2020-05-07 18:03:20,878 AMZN	30 
 2020-05-07 18:03:20,882 AAPL	30 
 2020-05-07 18:05:20,875 MSFT	30 
 2020-05-07 18:05:20,880 GOOG	30 
 2020-05-07 18:05:20,882 AMZN	30 
 2020-05-07 18:05:20,887 AAPL	30 
 2020-05-07 18:06:24,906 StockWatcher = end program 
