 2020-05-07 19:15:13,977 StockWatcher - start program 
 2020-05-07 19:15:13,978 Start watching MSFT: Price: 20 
 2020-05-07 19:15:13,979 MSFT	20 
 2020-05-07 19:15:13,980 Start watching GOOG: Price: 20 
 2020-05-07 19:15:13,980 GOOG	20 
 2020-05-07 19:15:13,980 Start watching AAPL: Price: 20 
 2020-05-07 19:15:13,980 AAPL	20 
 2020-05-07 19:15:13,982 Start watching AMZN: Price: 20 
 2020-05-07 19:15:13,982 AMZN	20 
 2020-05-07 19:17:13,980 MSFT	25 
 2020-05-07 19:17:13,981 GOOG	25 
 2020-05-07 19:17:13,982 AAPL	25 
 2020-05-07 19:17:13,983 AMZN	25 
 2020-05-07 19:19:13,984 MSFT	30 
 2020-05-07 19:19:13,989 AAPL	30 
 2020-05-07 19:19:13,991 AMZN	30 
 2020-05-07 19:19:13,992 GOOG	30 
 2020-05-07 19:21:13,988 MSFT	30 
 2020-05-07 19:21:13,992 AAPL	30 
 2020-05-07 19:21:13,994 AMZN	30 
 2020-05-07 19:21:13,998 GOOG	30 
 2020-05-07 19:23:13,988 MSFT	30 
 2020-05-07 19:23:13,993 AAPL	30 
 2020-05-07 19:23:13,995 AMZN	30 
 2020-05-07 19:23:13,999 GOOG	30 
 2020-05-07 19:25:13,990 MSFT	20 
 2020-05-07 19:25:13,994 AAPL	20 
 2020-05-07 19:25:13,996 AMZN	20 
 2020-05-07 19:25:14,000 GOOG	20 
 2020-05-07 19:27:13,992 MSFT	20 
 2020-05-07 19:27:13,995 AAPL	20 
 2020-05-07 19:27:13,997 AMZN	20 
 2020-05-07 19:27:14,001 GOOG	20 
 2020-05-07 19:27:16,917 StockWatcher = end program 
